v1,v2,score
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
20.0,20.0,-3.7709460091801743
22.0,23.0,1.7
