v1,v2,score
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
54.241366197211995,11.263893700269636,1.9
33.0,19.0,2.0
