v1,v2,score
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,0.0,1.9
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
13.95906188562593,10.0,2.0
42.97732110708045,10.0,2.2
34.5568489800317,12.559375684466021,2.3000000000000003
