v1,v2,score
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
20.0,20.0,-4.465433180908156
28.0,30.0,1.7
