speeds,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.89,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 13.358583461268061}, {'v2': 20.974134526611202}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-18.37,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 16.291795699002446}, {'v2': 16.477196129299184}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-18.74,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 25.24873978508549}, {'v2': 21.831992122827323}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-22.31,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 22.88208815985844}, {'v2': 22.434184627279937}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-20.81,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 10.0}, {'v2': 25.91322418706904}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.95,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.62344716006108}, {'v2': 10.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.8,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 11.097194723704858}, {'v2': 35.47811446028441}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-24.14,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 20.2730408770964}, {'v2': 23.781813944501344}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-21.38,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 12.88422949183622}, {'v2': 18.28757880099571}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-17.83,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 21.527152322855255}, {'v2': 20.396126033770575}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-20.76,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 21.85082457223047}, {'v2': 14.282027893161526}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.89,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.21978891135211}, {'v2': 12.701382801811995}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.97,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 24.478187809241547}, {'v2': 11.315376923556052}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-19.92,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 16.215213416071318}, {'v2': 17.51096056837538}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-18.67,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.901908377128173}, {'v2': 21.59552964854572}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-22.11,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 21.889200115046265}, {'v2': 22.215433166988745}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-21.32,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 24.74980639225322}, {'v2': 24.788683668355787}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-22.57,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.426037837163825}, {'v2': 19.77043568629883}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-21.29,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 19.565891060000688}, {'v2': 24.274009358793172}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-21.04,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.74312161832153}, {'v2': 14.976758324878507}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-20.53,2.4000000000000004,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
