speeds,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.41,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 43.0}, {'v2': 19.0}]","[{'v1': ['ML']}, {'v2': ['FL', 'FR', 'M']}]","[{'v1': ['ML']}, {'v2': ['FL', 'FR', 'M']}]",1,1.6,2.0,,"[{'v1': [{'name': 'ML', 'damage': 0.02359882005899705}]}, {'v2': [{'name': 'FL', 'damage': 0.2222222222222222}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'M', 'damage': 0.00029156644070267514}]}]","{'v1': [{'name': 'ML', 'damage': 0.02359882005899705}], 'v2': [{'name': 'FL', 'damage': 0.2222222222222222}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'M', 'damage': 0.00029156644070267514}]}"
"[{'v1': 40.0}, {'v2': 10.0}]","[{'v1': ['FL']}, {'v2': ['F', 'F', 'FR', 'M']}]","[{'v1': ['FL']}, {'v2': ['FR', 'F']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.010666666666666666}]}, {'v2': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.01904761904761905}, {'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'M', 'damage': 0.0029156644070267514}]}]","{'v1': [{'name': 'FL', 'damage': 0.010666666666666666}], 'v2': [{'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 10.0}, {'v2': 31.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.31,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 32.0}, {'v2': 48.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['FR', 'M', 'MR']}]","[{'v1': ['FL', 'FL', 'F', 'F']}, {'v2': ['FR', 'M', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.624113475177305}, {'name': 'M', 'damage': 0.004373496610540126}, {'name': 'F', 'damage': 0.015503875968992248}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FL', 'damage': 0.07466666666666667}, {'name': 'F', 'damage': 0.5663322185061316}]}, {'v2': [{'name': 'FR', 'damage': 1}, {'name': 'M', 'damage': 0.0008746993221080254}, {'name': 'MR', 'damage': 0.05309734513274336}]}]","{'v1': [{'name': 'FL', 'damage': 0.07466666666666667}, {'name': 'FL', 'damage': 0.624113475177305}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'F', 'damage': 0.5663322185061316}], 'v2': [{'name': 'FR', 'damage': 1}, {'name': 'M', 'damage': 0.0008746993221080254}, {'name': 'MR', 'damage': 0.05309734513274336}]}"
"[{'v1': 28.0}, {'v2': 40.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['MR']}]","[{'v1': ['FL', 'F', 'F']}, {'v2': ['MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.7659574468085106}, {'name': 'M', 'damage': 0.005248195932648152}, {'name': 'F', 'damage': 0.023255813953488372}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FL', 'damage': 0.010666666666666666}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'MR', 'damage': 0.036036036036036036}]}]","{'v1': [{'name': 'FL', 'damage': 0.7659574468085106}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'MR', 'damage': 0.036036036036036036}]}"
"[{'v1': 31.0}, {'v2': 12.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'F', 'FL']}, {'v2': ['FR', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.8794326241134752}, {'name': 'M', 'damage': 0.004373496610540126}, {'name': 'F', 'damage': 0.03875968992248062}, {'name': 'F', 'damage': 0.6095238095238096}, {'name': 'FL', 'damage': 0.26666666666666666}, {'name': 'F', 'damage': 0.5484949832775919}]}, {'v2': [{'name': 'FR', 'damage': 0.10666666666666667}, {'name': 'MR', 'damage': 0.035398230088495575}]}]","{'v1': [{'name': 'F', 'damage': 0.6095238095238096}, {'name': 'F', 'damage': 0.5484949832775919}, {'name': 'FL', 'damage': 0.8794326241134752}], 'v2': [{'name': 'FR', 'damage': 0.10666666666666667}, {'name': 'MR', 'damage': 0.035398230088495575}]}"
"[{'v1': 31.0}, {'v2': 16.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['FR', 'MR']}]","[{'v1': ['FL', 'FL', 'F', 'F']}, {'v2': ['FR', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.7375886524822695}, {'name': 'M', 'damage': 0.0034987972884321017}, {'name': 'F', 'damage': 0.03875968992248062}, {'name': 'F', 'damage': 0.5333333333333333}, {'name': 'FL', 'damage': 0.256}, {'name': 'F', 'damage': 0.5707915273132664}]}, {'v2': [{'name': 'FR', 'damage': 0.17066666666666666}, {'name': 'MR', 'damage': 0.011799410029498525}]}]","{'v1': [{'name': 'FL', 'damage': 0.256}, {'name': 'FL', 'damage': 0.7375886524822695}, {'name': 'F', 'damage': 0.5333333333333333}, {'name': 'F', 'damage': 0.5707915273132664}], 'v2': [{'name': 'FR', 'damage': 0.17066666666666666}, {'name': 'MR', 'damage': 0.011799410029498525}]}"
"[{'v1': 30.0}, {'v2': 26.0}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['FR', 'M', 'MR']}]","[{'v1': ['FL', 'FL', 'F', 'F']}, {'v2': ['FR', 'M', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.7659574468085106}, {'name': 'M', 'damage': 0.0032072308477294263}, {'name': 'F', 'damage': 0.015503875968992248}, {'name': 'F', 'damage': 0.5523809523809524}, {'name': 'FL', 'damage': 0.26666666666666666}, {'name': 'F', 'damage': 0.5395763656633222}]}, {'v2': [{'name': 'FR', 'damage': 1}, {'name': 'M', 'damage': 0.0005831328814053503}, {'name': 'MR', 'damage': 0.04129793510324484}]}]","{'v1': [{'name': 'FL', 'damage': 0.26666666666666666}, {'name': 'FL', 'damage': 0.7659574468085106}, {'name': 'F', 'damage': 0.5523809523809524}, {'name': 'F', 'damage': 0.5395763656633222}], 'v2': [{'name': 'FR', 'damage': 1}, {'name': 'M', 'damage': 0.0005831328814053503}, {'name': 'MR', 'damage': 0.04129793510324484}]}"
"[{'v1': 32.0}, {'v2': 11.0}]","[{'v1': ['F', 'FL', 'FL', 'F', 'M', 'F', 'F']}, {'v2': ['FR', 'MR']}]","[{'v1': ['FL', 'F', 'FL', 'F']}, {'v2': ['FR', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FL', 'damage': 0.7375886524822695}, {'name': 'FL', 'damage': 0.26666666666666666}, {'name': 'F', 'damage': 0.03875968992248062}, {'name': 'M', 'damage': 0.004373496610540126}, {'name': 'F', 'damage': 0.004519774011299435}, {'name': 'F', 'damage': 0.5663322185061316}]}, {'v2': [{'name': 'FR', 'damage': 0.20266666666666666}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'FL', 'damage': 0.26666666666666666}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FL', 'damage': 0.7375886524822695}, {'name': 'F', 'damage': 0.5663322185061316}], 'v2': [{'name': 'FR', 'damage': 0.20266666666666666}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
