v1,v2,score
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
52.8081944504211,50.8649555820431,-1.931331100179068
45.0,49.0,1.3
45.0,49.0,1.3
45.0,49.0,1.3
36.0,48.0,1.5
36.0,48.0,1.5
36.0,48.0,1.5
36.0,48.0,1.5
36.0,48.0,1.5
36.0,48.0,1.5
36.0,47.0,1.5999999999999999
