v1,v2,score
52.8081944504211,50.8649555820431,1.3
52.8081944504211,50.8649555820431,1.3
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
50.0,44.74625294080331,1.5
