speeds,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': ['F', 'F', 'FL', 'M']}, {'v2': []}]","[{'v1': ['F', 'FL', 'F']}, {'v2': []}]",0,-14.67,2.0,Exception: The simulator did not report any crashes!,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.3238095238095238}, {'name': 'FL', 'damage': 0.5957446808510638}, {'name': 'M', 'damage': 0.0014578322035133757}]}, {'v2': []}]","{'v1': [{'name': 'F', 'damage': 0.3238095238095238}, {'name': 'FL', 'damage': 0.5957446808510638}, {'name': 'F', 'damage': 1}], 'v2': []}"
"[{'v1': 28.103743678843657}, {'v2': 22.95634427196612}]","[{'v1': ['FL', 'M', 'F', 'FL', 'F']}, {'v2': ['FL', 'FR']}]","[{'v1': ['FL', 'FL', 'F', 'F']}, {'v2': ['FL', 'FR']}]",1,1.9,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.28368794326241137}, {'name': 'M', 'damage': 0.007580727458269553}, {'name': 'F', 'damage': 0.47619047619047616}, {'name': 'FL', 'damage': 0.17066666666666666}, {'name': 'F', 'damage': 0.5083612040133779}]}, {'v2': [{'name': 'FL', 'damage': 1}, {'name': 'FR', 'damage': 0.20266666666666666}]}]","{'v1': [{'name': 'FL', 'damage': 0.28368794326241137}, {'name': 'FL', 'damage': 0.17066666666666666}, {'name': 'F', 'damage': 0.47619047619047616}, {'name': 'F', 'damage': 0.5083612040133779}], 'v2': [{'name': 'FL', 'damage': 1}, {'name': 'FR', 'damage': 0.20266666666666666}]}"
"[{'v1': 10.0}, {'v2': 45.952821663433895}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.56,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 35.679562441003405}, {'v2': 10.0}]","[{'v1': ['FL', 'B']}, {'v2': ['F', 'FR', 'M', 'FL', 'F']}]","[{'v1': ['FL', 'B']}, {'v2': ['FR', 'FL', 'F']}]",1,1.9,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.042666666666666665}, {'name': 'B', 'damage': 1}]}, {'v2': [{'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FR', 'damage': 0.8}, {'name': 'M', 'damage': 0.013412056272323055}, {'name': 'FL', 'damage': 0.8}, {'name': 'F', 'damage': 1}]}]","{'v1': [{'name': 'FL', 'damage': 0.042666666666666665}, {'name': 'B', 'damage': 1}], 'v2': [{'name': 'FR', 'damage': 0.8}, {'name': 'FL', 'damage': 0.8}, {'name': 'F', 'damage': 1}]}"
"[{'v1': 19.118951217323794}, {'v2': 23.955718006166535}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-8.73,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 19.027870339949036}, {'v2': 10.798233830522582}]","[{'v1': ['F']}, {'v2': ['B', 'B']}]","[{'v1': ['F']}, {'v2': ['B', 'B']}]",1,1.7999999999999998,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.11148272017837235}]}, {'v2': [{'name': 'B', 'damage': 0.017777777777777778}, {'name': 'B', 'damage': 0.015810276679841896}]}]","{'v1': [{'name': 'F', 'damage': 0.11148272017837235}], 'v2': [{'name': 'B', 'damage': 0.017777777777777778}, {'name': 'B', 'damage': 0.015810276679841896}]}"
"[{'v1': 23.102044779703657}, {'v2': 37.10195269516071}]","[{'v1': ['F', 'F', 'FL', 'M']}, {'v2': ['FR']}]","[{'v1': ['F', 'F', 'FL']}, {'v2': ['FR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.4280936454849498}, {'name': 'F', 'damage': 0.3047619047619048}, {'name': 'FL', 'damage': 0.425531914893617}, {'name': 'M', 'damage': 0.002624097966324076}]}, {'v2': [{'name': 'FR', 'damage': 0.05333333333333334}]}]","{'v1': [{'name': 'F', 'damage': 0.3047619047619048}, {'name': 'F', 'damage': 0.4280936454849498}, {'name': 'FL', 'damage': 0.425531914893617}], 'v2': [{'name': 'FR', 'damage': 0.05333333333333334}]}"
"[{'v1': 50.0}, {'v2': 50.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-21.81,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 27.942191480310992}, {'v2': 50.0}]","[{'v1': ['F', 'M', 'F', 'FL', 'FR', 'F']}, {'v2': ['MR', 'M']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['MR', 'M']}]",1,2.0,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.7619047619047619}, {'name': 'M', 'damage': 0.004373496610540126}, {'name': 'F', 'damage': 0.007751937984496124}, {'name': 'FL', 'damage': 0.9361702127659575}, {'name': 'FR', 'damage': 0.028368794326241134}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'MR', 'damage': 0.018018018018018018}, {'name': 'M', 'damage': 0.0008746993221080254}]}]","{'v1': [{'name': 'F', 'damage': 0.7619047619047619}, {'name': 'FL', 'damage': 0.9361702127659575}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'MR', 'damage': 0.018018018018018018}, {'name': 'M', 'damage': 0.0008746993221080254}]}"
"[{'v1': 10.0}, {'v2': 42.83843160664634}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-10.22,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
