speeds,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 20.0}, {'v2': 20.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-6.89,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 31.36994539609408}, {'v2': 12.261440975319497}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'F', 'FL']}, {'v2': ['FR', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.9645390070921985}, {'name': 'M', 'damage': 0.005248195932648152}, {'name': 'F', 'damage': 0.03875968992248062}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FL', 'damage': 0.18133333333333335}, {'name': 'F', 'damage': 0.633221850613155}]}, {'v2': [{'name': 'FR', 'damage': 0.128}, {'name': 'MR', 'damage': 0.04129793510324484}]}]","{'v1': [{'name': 'F', 'damage': 0.6285714285714286}, {'name': 'F', 'damage': 0.633221850613155}, {'name': 'FL', 'damage': 0.9645390070921985}], 'v2': [{'name': 'FR', 'damage': 0.128}, {'name': 'MR', 'damage': 0.04129793510324484}]}"
"[{'v1': 50.0}, {'v2': 30.46563775608509}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-22.3,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 23.904156795118265}, {'v2': 23.060763806494823}]","[{'v1': ['F', 'M', 'F', 'FL', 'F']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'FL', 'F']}, {'v2': ['FR', 'MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'F', 'damage': 0.45714285714285713}, {'name': 'M', 'damage': 0.0020409650849187258}, {'name': 'F', 'damage': 0.007751937984496124}, {'name': 'FL', 'damage': 0.36879432624113473}, {'name': 'F', 'damage': 1}]}, {'v2': [{'name': 'FR', 'damage': 0.042666666666666665}, {'name': 'MR', 'damage': 0.035398230088495575}]}]","{'v1': [{'name': 'F', 'damage': 0.45714285714285713}, {'name': 'FL', 'damage': 0.36879432624113473}, {'name': 'F', 'damage': 1}], 'v2': [{'name': 'FR', 'damage': 0.042666666666666665}, {'name': 'MR', 'damage': 0.035398230088495575}]}"
"[{'v1': 15.65589910014}, {'v2': 10.0}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-4.16,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 42.544652221358454}, {'v2': 35.48259468816273}]","[{'v1': []}, {'v2': ['F', 'F', 'FR', 'M']}]","[{'v1': []}, {'v2': ['F', 'FR', 'F']}]",0,-22.94,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': [{'name': 'F', 'damage': 0.044593088071348944}, {'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'M', 'damage': 0.004956629491945477}]}]","{'v1': [], 'v2': [{'name': 'F', 'damage': 0.044593088071348944}, {'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.0761904761904762}]}"
"[{'v1': 10.0}, {'v2': 19.43648239924315}]","[{'v1': []}, {'v2': []}]","[{'v1': []}, {'v2': []}]",0,-7.6,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': []}]","{'v1': [], 'v2': []}"
"[{'v1': 42.24229632642357}, {'v2': 20.860624219394765}]","[{'v1': ['ML']}, {'v2': ['FL', 'F', 'F', 'M']}]","[{'v1': ['ML']}, {'v2': ['F', 'FL']}]",1,1.4,2.0,,"[{'v1': [{'name': 'ML', 'damage': 0.0058997050147492625}]}, {'v2': [{'name': 'FL', 'damage': 0.14814814814814814}, {'name': 'F', 'damage': 0.05714285714285714}, {'name': 'F', 'damage': 0.004459308807134894}, {'name': 'M', 'damage': 0.0005831328814053503}]}]","{'v1': [{'name': 'ML', 'damage': 0.0058997050147492625}], 'v2': [{'name': 'F', 'damage': 0.05714285714285714}, {'name': 'FL', 'damage': 0.14814814814814814}]}"
"[{'v1': 27.50320765346161}, {'v2': 32.43394448117831}]","[{'v1': ['F', 'F', 'FL', 'M']}, {'v2': ['MR']}]","[{'v1': ['F', 'F', 'FL']}, {'v2': ['MR']}]",1,2.0,2.0,,"[{'v1': [{'name': 'F', 'damage': 1}, {'name': 'F', 'damage': 0.7047619047619048}, {'name': 'FL', 'damage': 0.9361702127659575}, {'name': 'M', 'damage': 0.004665063051242802}]}, {'v2': [{'name': 'MR', 'damage': 0.009009009009009009}]}]","{'v1': [{'name': 'F', 'damage': 0.7047619047619048}, {'name': 'F', 'damage': 1}, {'name': 'FL', 'damage': 0.9361702127659575}], 'v2': [{'name': 'MR', 'damage': 0.009009009009009009}]}"
"[{'v1': 41.970116632676984}, {'v2': 10.0}]","[{'v1': []}, {'v2': ['F', 'FR', 'M', 'FR', 'F']}]","[{'v1': []}, {'v2': ['F', 'FR', 'F']}]",0,-19.99,2.0,Exception: The simulator did not report any crashes!,"[{'v1': []}, {'v2': [{'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'M', 'damage': 0.007580727458269553}, {'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.21850613154960982}]}]","{'v1': [], 'v2': [{'name': 'F', 'damage': 0.0761904761904762}, {'name': 'FR', 'damage': 0.05673758865248227}, {'name': 'F', 'damage': 0.21850613154960982}]}"
"[{'v1': 29.82536388509273}, {'v2': 32.53884540174515}]","[{'v1': ['FL', 'M', 'F', 'F', 'FL', 'F']}, {'v2': ['MR', 'MR', 'M']}]","[{'v1': ['FL', 'FL', 'F', 'F']}, {'v2': ['MR', 'MR', 'M']}]",1,2.0,2.0,,"[{'v1': [{'name': 'FL', 'damage': 0.8794326241134752}, {'name': 'M', 'damage': 0.0034987972884321017}, {'name': 'F', 'damage': 0.05426356589147287}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'FL', 'damage': 0.2773333333333333}, {'name': 'F', 'damage': 0.6956521739130435}]}, {'v2': [{'name': 'MR', 'damage': 0.009009009009009009}, {'name': 'MR', 'damage': 0.035398230088495575}, {'name': 'M', 'damage': 0.00029156644070267514}]}]","{'v1': [{'name': 'FL', 'damage': 0.2773333333333333}, {'name': 'FL', 'damage': 0.8794326241134752}, {'name': 'F', 'damage': 0.6285714285714286}, {'name': 'F', 'damage': 0.6956521739130435}], 'v2': [{'name': 'MR', 'damage': 0.009009009009009009}, {'name': 'MR', 'damage': 0.035398230088495575}, {'name': 'M', 'damage': 0.00029156644070267514}]}"
